date,_NAME_,SELL,PORT2,PORT3,PORT4,BUY,asyret
30NOV2004,mret,-0.256459092,-0.225874964,-0.344111624,-0.373631055,-0.416770119,-0.160311026
01DEC2004,mret,-0.057512852,0.9843124706,1.5229137205,1.6267765327,1.6055668616,1.6630797133
02DEC2004,mret,-1.835421142,-0.135244964,-0.234996342,0.1555337837,0.3363028146,2.1717239569
03DEC2004,mret,0.781518503,0.2530735576,-0.21953264,-0.069732415,0.0385806606,-0.742937842
06DEC2004,mret,-0.243395964,-0.042151031,-0.24661521,-0.263444818,-0.235141905,0.0082540591
07DEC2004,mret,-1.86790148,-1.014464785,-0.936314462,-0.98759656,-0.86541889,1.0024825898
08DEC2004,mret,0.3102285664,0.4157850383,0.5834198503,0.3100793447,0.5398683756,0.2296398092
09DEC2004,mret,0.6753915252,0.3558046108,0.5752468146,0.3691068379,0.8399350984,0.1645435733
10DEC2004,mret,0.0744946816,-0.029811987,0.0225647397,-0.009437312,-0.069643544,-0.144138225
13DEC2004,mret,1.2208960334,0.6902981261,0.8806707101,0.9128146823,0.760317226,-0.460578807
14DEC2004,mret,0.4543655861,0.3429847992,0.2469872268,0.5059879133,0.793348853,0.3389832669
15DEC2004,mret,1.3812810588,0.2112494037,0.4303286042,0.2440959828,0.2920911617,-1.089189897
